Rank,Company Name,Total Jobs,Categories,Signal Strength,Sample Roles,Data Sources,Last Updated
51,Mimecast LLC,19,"saas_security, sspm, ai_compliance",Very High,SaaS Security Engineer; AI Compliance Engineer; SaaS Security Posture Manager; SaaS Compliance Manager; Cloud Security Architect,LinkedIn,2025-12-01 22:02:58
52,Symantec,18,"sspm, ai_agent_security, saas_compliance",Very High,SaaS Governance Analyst; SaaS Security Consultant; SaaS Security Engineer; AI Compliance Engineer; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
53,Databricks,20,sspm,Very High,Cloud Security Engineer; SSPM Engineer; AI Compliance Engineer; SaaS Security Posture Manager; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
54,Vultr,17,saas_security,Very High,SaaS Security Posture Manager; SaaS Governance Analyst; Cloud Security Engineer; SaaS Security Consultant; Security Engineer - SaaS,"Indeed, LinkedIn",2025-12-01 22:02:58
55,Heroku ,8,sspm,High,SaaS Compliance Manager; Cloud Security Architect; GenAI Security Specialist; SaaS Governance Analyst; SaaS Risk Analyst,LinkedIn,2025-12-01 22:02:58
56,Monday.com,10,sspm,Very High,Cloud Security Engineer; Cloud Security Architect; Security Engineer - SaaS; AI Security Engineer; SaaS Security Analyst,Indeed,2025-12-01 22:02:58
57,Palo Alto Networks,18,sspm,Very High,SaaS Compliance Manager; SSPM Engineer; SaaS Governance Analyst; Security Engineer - SaaS; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
58,Okta,11,"saas_compliance, ai_agent_security, saas_security",Very High,SaaS Compliance Manager; Cloud Security Engineer; SaaS Governance Analyst; Cloud Security Architect; AI Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
59,GitHub,12,saas_security,Very High,SaaS Security Analyst; SaaS Compliance Manager; SaaS Security Consultant; Cloud Security Architect; SaaS Risk Analyst,Indeed,2025-12-01 22:02:58
60,Datadog,18,"ai_compliance, saas_security",Very High,SaaS Security Analyst; Cloud Security Engineer; GenAI Security Specialist; SaaS Compliance Manager; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
61,Databricks Corp,15,"saas_compliance, sspm",Very High,GenAI Security Specialist; Cloud Security Engineer; SaaS Security Engineer; SaaS Security Posture Manager; SaaS Compliance Manager,LinkedIn,2025-12-01 22:02:58
62,DocuSign,12,"sspm, saas_compliance, ai_compliance",Very High,Security Engineer - SaaS; SaaS Security Consultant; Cloud Security Engineer; AI Compliance Engineer; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
63,GitHub Actions,15,"saas_security, ai_agent_security",Very High,SaaS Governance Analyst; Security Engineer - SaaS; Cloud Security Architect; Cloud Security Engineer; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
64,SquareSpace,15,ai_compliance,Very High,SaaS Security Posture Manager; SSPM Engineer; Cloud Security Architect; Security Engineer - SaaS; SaaS Compliance Manager,LinkedIn,2025-12-01 22:02:58
65,Drift,11,ai_agent_security,Very High,Cloud Security Engineer; Cloud Security Architect; Security Engineer - SaaS; SaaS Risk Analyst; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
66,Bitbucket,19,"saas_security, ai_agent_security",Very High,SaaS Security Posture Manager; GenAI Security Specialist; Cloud Security Engineer; SaaS Security Engineer; SaaS Security Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
67,McAfee,18,"saas_compliance, sspm, ai_compliance",Very High,AI Security Engineer; SaaS Risk Analyst; GenAI Security Specialist; Cloud Security Engineer; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
68,GitHub Actions LLC,15,"sspm, saas_security, ai_compliance",Very High,SaaS Security Engineer; SSPM Engineer; SaaS Security Analyst; Cloud Security Architect; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
69,Shopify,18,"saas_compliance, ai_compliance",Very High,Cloud Security Architect; SaaS Security Analyst; AI Security Engineer; SaaS Risk Analyst; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
70,Microsoft LLC,10,ai_agent_security,Very High,Cloud Security Architect; SaaS Risk Analyst; SaaS Security Posture Manager; Security Engineer - SaaS; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
71,Google,17,"ai_compliance, ai_agent_security",Very High,GenAI Security Specialist; SaaS Governance Analyst; SaaS Security Engineer; SaaS Security Consultant; Security Engineer - SaaS,"Indeed, LinkedIn",2025-12-01 22:02:58
72,SailPoint LLC,12,"ai_agent_security, sspm",Very High,SaaS Risk Analyst; Security Engineer - SaaS; SSPM Engineer; SaaS Security Engineer; AI Compliance Engineer,LinkedIn,2025-12-01 22:02:58
73,Oracle,13,"saas_compliance, ai_agent_security",Very High,SaaS Security Consultant; SaaS Security Analyst; SaaS Security Posture Manager; GenAI Security Specialist; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
74,Rapid7 LLC,18,"ai_compliance, sspm, saas_security",Very High,SaaS Security Consultant; SaaS Governance Analyst; GenAI Security Specialist; SaaS Security Engineer; SaaS Security Posture Manager,Indeed,2025-12-01 22:02:58
75,Box LLC,14,"ai_agent_security, saas_security",Very High,SaaS Security Posture Manager; AI Security Engineer; Cloud Security Architect; SaaS Risk Analyst; AI Compliance Engineer,LinkedIn,2025-12-01 22:02:58
76,ServiceNow,9,"saas_compliance, saas_security, sspm",Very High,SaaS Compliance Manager; SaaS Security Posture Manager; Cloud Security Engineer; SaaS Risk Analyst; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
77,OneLogin,17,"saas_compliance, sspm",Very High,SaaS Security Consultant; SaaS Security Engineer; AI Compliance Engineer; GenAI Security Specialist; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
78,Symantec,12,saas_security,Very High,Cloud Security Engineer; SSPM Engineer; SaaS Compliance Manager; SaaS Security Posture Manager; Cloud Security Architect,LinkedIn,2025-12-01 22:02:58
79,Atlassian Ltd,16,"saas_security, sspm",Very High,Security Engineer - SaaS; SaaS Governance Analyst; SaaS Security Posture Manager; Cloud Security Engineer; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
80,Monday.com,19,saas_compliance,Very High,Cloud Security Architect; SaaS Compliance Manager; AI Compliance Engineer; SaaS Security Analyst; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
81,Workday,15,"saas_security, saas_compliance, ai_agent_security",Very High,SaaS Risk Analyst; SSPM Engineer; SaaS Compliance Manager; Cloud Security Engineer; SaaS Security Consultant,LinkedIn,2025-12-01 22:02:58
82,Wrike,11,"sspm, saas_security",Very High,Cloud Security Architect; Cloud Security Engineer; SaaS Security Engineer; GenAI Security Specialist; SaaS Security Posture Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
83,Auth0,10,"sspm, ai_compliance, saas_security",Very High,SaaS Governance Analyst; SaaS Security Engineer; SaaS Security Posture Manager; Security Engineer - SaaS; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
84,Monday.com,15,"ai_compliance, sspm",Very High,SaaS Risk Analyst; Cloud Security Engineer; SaaS Governance Analyst; GenAI Security Specialist; SaaS Security Consultant,Indeed,2025-12-01 22:02:58
85,Heroku,13,"saas_security, ai_agent_security",Very High,Cloud Security Engineer; SaaS Governance Analyst; GenAI Security Specialist; SaaS Compliance Manager; SaaS Security Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
86,Zscaler,17,ai_agent_security,Very High,SaaS Security Posture Manager; SaaS Risk Analyst; Cloud Security Architect; SaaS Security Consultant; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
87,Box Corp,15,"ai_agent_security, ai_compliance, sspm",Very High,Cloud Security Engineer; Security Engineer - SaaS; SaaS Risk Analyst; SSPM Engineer; Cloud Security Architect,LinkedIn,2025-12-01 22:02:58
88,Mailchimp,9,"sspm, saas_security",Very High,SaaS Security Analyst; AI Security Engineer; GenAI Security Specialist; Cloud Security Engineer; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
89,IBM,20,sspm,Very High,AI Compliance Engineer; SaaS Compliance Manager; Cloud Security Architect; Security Engineer - SaaS; Cloud Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
90,Tableau LLC,11,ai_agent_security,Very High,Security Engineer - SaaS; GenAI Security Specialist; AI Compliance Engineer; AI Security Engineer; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
91,Azure,17,"sspm, saas_security, ai_agent_security",Very High,SaaS Governance Analyst; Cloud Security Engineer; Cloud Security Architect; SaaS Risk Analyst; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
92,Wix ,9,sspm,High,Security Engineer - SaaS; Cloud Security Architect; GenAI Security Specialist; SaaS Security Analyst; Cloud Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
93,Drift,12,"saas_security, ai_agent_security, saas_compliance",Very High,Security Engineer - SaaS; SaaS Compliance Manager; SaaS Security Engineer; SSPM Engineer; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
94,OneLogin,10,ai_compliance,Very High,SaaS Security Engineer; SaaS Risk Analyst; SaaS Governance Analyst; SaaS Security Analyst; Cloud Security Architect,LinkedIn,2025-12-01 22:02:58
95,MongoDB,13,sspm,Very High,SSPM Engineer; GenAI Security Specialist; SaaS Security Engineer; SaaS Security Posture Manager; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
96,Linode,11,"ai_compliance, saas_compliance",Very High,Cloud Security Architect; GenAI Security Specialist; SaaS Security Consultant; SSPM Engineer; SaaS Risk Analyst,LinkedIn,2025-12-01 22:02:58
97,Palo Alto Networks LLC,10,"saas_compliance, saas_security, ai_agent_security",Very High,Cloud Security Architect; Cloud Security Engineer; AI Compliance Engineer; SaaS Governance Analyst; SaaS Security Engineer,Indeed,2025-12-01 22:02:58
98,Smartsheet,18,"ai_agent_security, sspm",Very High,SaaS Risk Analyst; SaaS Security Engineer; Security Engineer - SaaS; AI Security Engineer; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
99,ServiceNow,9,"sspm, saas_security",Very High,AI Security Engineer; Security Engineer - SaaS; SSPM Engineer; AI Compliance Engineer; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
100,F5 Networks,19,"sspm, saas_security",Very High,SaaS Compliance Manager; AI Compliance Engineer; SaaS Security Engineer; SSPM Engineer; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
101,Smartsheet,20,"saas_security, saas_compliance, ai_agent_security",Very High,SaaS Security Analyst; AI Security Engineer; AI Compliance Engineer; SaaS Security Posture Manager; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
102,Looker,11,saas_compliance,Very High,SaaS Security Analyst; SaaS Security Consultant; Cloud Security Architect; Cloud Security Engineer; Security Engineer - SaaS,"Indeed, LinkedIn",2025-12-01 22:02:58
103,Akamai,8,"saas_compliance, ai_compliance",High,SaaS Risk Analyst; Security Engineer - SaaS; SSPM Engineer; AI Security Engineer; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
104,Box Corp,20,"ai_compliance, saas_compliance",Very High,SSPM Engineer; Security Engineer - SaaS; SaaS Risk Analyst; Cloud Security Engineer; AI Security Engineer,Indeed,2025-12-01 22:02:58
105,ServiceNow,8,"ai_agent_security, sspm",High,SaaS Governance Analyst; GenAI Security Specialist; SaaS Security Engineer; Cloud Security Engineer; Cloud Security Architect,Indeed,2025-12-01 22:02:58
106,Twilio,15,"saas_security, saas_compliance, ai_compliance",Very High,SaaS Risk Analyst; SaaS Compliance Manager; Security Engineer - SaaS; SaaS Governance Analyst; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
107,Amazon,20,"ai_compliance, saas_security",Very High,Cloud Security Architect; SaaS Compliance Manager; AI Security Engineer; SaaS Security Engineer; AI Compliance Engineer,Indeed,2025-12-01 22:02:58
108,Zoom LLC,12,"sspm, ai_compliance",Very High,SaaS Compliance Manager; SaaS Security Engineer; Cloud Security Architect; AI Compliance Engineer; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
109,RSA,13,"ai_compliance, saas_security",Very High,SaaS Governance Analyst; SaaS Compliance Manager; Cloud Security Architect; SaaS Security Engineer; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
110,Fastly,20,"saas_security, ai_compliance",Very High,AI Security Engineer; Cloud Security Architect; GenAI Security Specialist; Security Engineer - SaaS; SaaS Governance Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
111,GitHub Ltd,19,"saas_security, ai_compliance, ai_agent_security",Very High,SaaS Security Analyst; SaaS Risk Analyst; GenAI Security Specialist; Cloud Security Architect; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
112,F5 Networks,17,"saas_compliance, saas_security",Very High,AI Compliance Engineer; Cloud Security Engineer; SSPM Engineer; SaaS Compliance Manager; SaaS Risk Analyst,LinkedIn,2025-12-01 22:02:58
113,Barracuda,17,"sspm, saas_security, ai_agent_security",Very High,SaaS Security Analyst; Cloud Security Engineer; AI Compliance Engineer; AI Security Engineer; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
114,Freshdesk LLC,12,sspm,Very High,AI Compliance Engineer; Cloud Security Engineer; SaaS Governance Analyst; SaaS Risk Analyst; SaaS Security Posture Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
115,Monday.com Inc,19,"ai_compliance, ai_agent_security, saas_security",Very High,SaaS Governance Analyst; SSPM Engineer; SaaS Security Analyst; SaaS Security Consultant; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
116,GitHub Actions,12,"saas_compliance, sspm, ai_agent_security",Very High,AI Compliance Engineer; AI Security Engineer; GenAI Security Specialist; SaaS Security Engineer; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
117,Intercom,14,"saas_security, saas_compliance",Very High,SaaS Security Analyst; SaaS Risk Analyst; Cloud Security Architect; AI Security Engineer; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
118,Marketo,8,"sspm, ai_agent_security",High,SSPM Engineer; SaaS Security Analyst; Security Engineer - SaaS; SaaS Security Engineer; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
119,OneLogin,20,"saas_compliance, ai_agent_security, saas_security",Very High,Security Engineer - SaaS; SaaS Risk Analyst; SaaS Governance Analyst; GenAI Security Specialist; SaaS Compliance Manager,LinkedIn,2025-12-01 22:02:58
120,Elastic,18,"saas_security, sspm, saas_compliance",Very High,Cloud Security Engineer; SaaS Security Engineer; AI Security Engineer; AI Compliance Engineer; SaaS Governance Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
121,GitHub Actions,20,"sspm, saas_compliance",Very High,Cloud Security Engineer; Security Engineer - SaaS; AI Compliance Engineer; SaaS Risk Analyst; SaaS Compliance Manager,Indeed,2025-12-01 22:02:58
122,F5 Networks,16,saas_compliance,Very High,SaaS Security Analyst; SSPM Engineer; SaaS Risk Analyst; SaaS Compliance Manager; Cloud Security Architect,"Indeed, LinkedIn",2025-12-01 22:02:58
123,Proofpoint,12,saas_security,Very High,SaaS Security Consultant; SaaS Security Posture Manager; GenAI Security Specialist; AI Security Engineer; AI Compliance Engineer,LinkedIn,2025-12-01 22:02:58
124,Marketo,13,"saas_security, sspm",Very High,SaaS Security Consultant; SaaS Security Engineer; AI Security Engineer; SaaS Compliance Manager; SaaS Governance Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
125,Salesforce,11,saas_compliance,Very High,SaaS Security Consultant; SaaS Governance Analyst; Cloud Security Engineer; SSPM Engineer; SaaS Security Posture Manager,Indeed,2025-12-01 22:02:58
126,Confluent Inc,15,ai_compliance,Very High,AI Compliance Engineer; SSPM Engineer; SaaS Security Consultant; SaaS Security Posture Manager; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
127,CyberArk,16,"saas_security, sspm",Very High,AI Compliance Engineer; SaaS Compliance Manager; Security Engineer - SaaS; SaaS Risk Analyst; AI Security Engineer,Indeed,2025-12-01 22:02:58
128,Azure Ltd,19,"saas_compliance, saas_security",Very High,SaaS Security Analyst; GenAI Security Specialist; AI Compliance Engineer; SaaS Risk Analyst; SaaS Security Consultant,Indeed,2025-12-01 22:02:58
129,Netlify,13,"sspm, saas_compliance, saas_security",Very High,AI Security Engineer; Security Engineer - SaaS; SaaS Compliance Manager; GenAI Security Specialist; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
130,Confluence,8,"ai_agent_security, saas_security, ai_compliance",High,SaaS Security Engineer; Cloud Security Engineer; Cloud Security Architect; SaaS Compliance Manager; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
131,Mailchimp,15,"ai_compliance, ai_agent_security",Very High,Security Engineer - SaaS; SaaS Security Analyst; AI Security Engineer; GenAI Security Specialist; SaaS Compliance Manager,LinkedIn,2025-12-01 22:02:58
132,Sprout Social Inc,14,"saas_security, ai_compliance",Very High,AI Compliance Engineer; SaaS Risk Analyst; SaaS Security Analyst; SaaS Governance Analyst; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
133,Salesforce Corp,20,"ai_agent_security, sspm, saas_compliance",Very High,SaaS Compliance Manager; Cloud Security Engineer; SSPM Engineer; SaaS Security Posture Manager; AI Security Engineer,Indeed,2025-12-01 22:02:58
134,Trend Micro,9,saas_security,High,SaaS Security Analyst; SaaS Governance Analyst; SSPM Engineer; AI Compliance Engineer; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
